id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.98483E+17,Home in Portland · ★4.33 · 2 bedrooms · 2 beds · 1 bath,111797012,Vacasa Oregon,,Hosford-Abernethy,45.50565925,-122.6431795,Entire home/apt,158,2,3,9/24/2023,0.54,8,365,3,23-028153-000-00-HO
7.72447E+17,Home in Portland · 2 bedrooms · 2 beds · 1.5 baths,111797012,Vacasa Oregon,,Piedmont,45.57743325,-122.6664615,Entire home/apt,161,2,2,5/7/2023,0.25,8,365,2,20-102613-000-00-HO
38901419,Boutique hotel in Portland · ★4.75 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52556,-122.67903,Private room,162,1,8,10/8/2023,0.58,8,363,7,Exempt
50098330,Guest suite in Portland · ★5.0 · 2 bedrooms · 3 beds · 1 bath,501715,Teresa,,Sabin,45.55728,-122.6506,Entire home/apt,171,30,3,3/4/2023,0.1,8,344,1,
38901688,Boutique hotel in Portland · ★4.89 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52691,-122.67899,Private room,175,1,9,7/29/2023,0.18,8,364,6,Exempt
51351572,Serviced apartment in Portland · 2 bedrooms · 2 beds · 2 baths,48005494,Zeus,,Portland Downtown,45.51454,-122.67706,Entire home/apt,179,30,1,11/19/2022,0.08,8,0,0,
38901626,Boutique hotel in Portland · ★3.33 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52537,-122.67891,Private room,185,1,3,4/30/2023,0.06,8,330,1,Exempt
6.61345E+17,Serviced apartment in Portland · 3 bedrooms · 3 beds · 3.5 baths,48005494,Zeus,,Concordia,45.5685,-122.62052,Entire home/apt,190,30,1,10/8/2022,0.07,8,83,0,
9.48562E+17,Home in Portland · 2 bedrooms · 3 beds · 1 bath,111797012,Vacasa Oregon,,West Portland Park,45.44123,-122.71863,Entire home/apt,195,2,1,8/20/2023,0.24,8,365,1,23-034108-000-00-HO
38901330,Boutique hotel in Portland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52546,-122.67769,Private room,195,1,5,7/22/2023,0.1,8,362,3,Exempt
38901371,Boutique hotel in Portland · ★4.67 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52688,-122.6792,Private room,199,1,3,7/22/2023,0.39,8,363,3,Exempt
38901218,Boutique hotel in Portland · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52763,-122.67773,Private room,209,1,1,3/9/2023,0.1,8,360,1,Exempt
38901466,Boutique hotel in Portland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,267888134,Harlow,,Pearl,45.52717,-122.67926,Private room,215,1,3,1/1/2023,0.06,8,362,1,Exempt
8.38186E+17,Rental unit in Portland · 2 bedrooms · 2 beds · 1 private bath,111797012,Vacasa Oregon,,Northwest District,45.52801058,-122.6996882,Private room,217,2,1,8/22/2023,0.25,8,364,1,22-165240-000-00-HO
8.82133E+17,Home in Portland · ★4.59 · 1 bedroom · 1 bed · 1 bath,33081979,Elsa,,Irvington,45.54064344,-122.6543982,Private room,23,1,33,12/4/2023,4.46,9,0,33,City registration pending
48452391,Home in Portland · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,33081979,Elsa,,King,45.55512,-122.65878,Private room,30,1,214,12/4/2023,6.29,9,0,69,City registration pending
6.13892E+17,Home in Portland · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,33081979,Elsa,,King,45.55488,-122.66093,Private room,30,30,3,10/31/2022,0.17,9,136,0,
8.07167E+17,Townhouse in Portland · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57826,-122.70067,Private room,30,30,1,8/9/2023,0.22,9,176,1,Exempt
8.06458E+17,Townhouse in Portland · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57863349,-122.7022524,Private room,30,30,2,8/14/2023,0.27,9,351,2,
